Algorithm,InputType,InputSize,RuntimeSeconds
deterministic,random,1000,5.387076801679667e-05
deterministic,random,2000,2.046396281544636e-05
deterministic,random,4000,5.743804641568042e-05
deterministic,random,8000,0.00021605649168621982
deterministic,random,16000,0.0006105881483846848
deterministic,reversed,1000,0.00013235710060778634
deterministic,reversed,2000,0.0005191640481364803
deterministic,reversed,4000,0.0036118975329342672
deterministic,reversed,8000,0.02474196148388711
deterministic,reversed,16000,0.0870573539987559
deterministic,sorted,1000,0.00015564090264451197
deterministic,sorted,2000,0.00029719275021216794
deterministic,sorted,4000,0.0014995296835572124
deterministic,sorted,8000,0.06325988936488605
deterministic,sorted,16000,0.10615241162775137
randomized,random,1000,2.6186984018892644e-05
randomized,random,2000,6.76263795163027e-05
randomized,random,4000,0.00014760858404186053
randomized,random,8000,0.00018000473375037043
randomized,random,16000,0.00016685981813551547
randomized,reversed,1000,3.2549008899317e-05
randomized,reversed,2000,2.2014635270424172e-05
randomized,reversed,4000,5.374737335075073e-05
randomized,reversed,8000,0.0007286084050864463
randomized,reversed,16000,0.00034084965982587585
randomized,sorted,1000,1.1713158366978954e-05
randomized,sorted,2000,3.47194481930273e-05
randomized,sorted,4000,0.000189612222378716
randomized,sorted,8000,0.0003740759390025136
randomized,sorted,16000,0.00028403759280297
